,m_electors_st,f_electors_st,t_electors_st,m_voters_st,f_voters_st,t_voters_st,sex_ratio,female_voter_turnout,ln_female_electors,ln_t_electors,t_voter_turnout,StateName,stateabb
0,142783,126577,269360,101129,89084,190213,886.0,70.4,11.748606,12.5,70.6,Andaman & Nicobar Islands,Andaman & Nicobar Islands
1,32676266,32252318,64934136,24264388,23899016,48163704,987.0,74.1,17.289101000000002,17.99,74.2,Andhra Pradesh,Andhra Pradesh
2,379566,379778,759344,282511,299237,581748,1001.0,78.8,12.847342,13.54,76.6,Arunachal Pradesh,Arunachal Pradesh
3,9763621,9073991,18837712,7874627,7208917,15083544,929.0,79.4,16.020924,16.75,80.1,Assam,Assam
4,34121296,29676576,63800160,18748720,17124396,35873132,870.0,57.7,17.205868,17.97,56.2,Bihar,Bihar
5,333621,281593,615214,244907,208415,453322,844.0,74.0,12.548217999999999,13.33,73.7,Chandigarh,Chandigarh
6,8946747,8716788,17664520,6321794,5932545,12254339,974.0,68.1,15.980762,16.69,69.4,Chhattisgarh,Chhattisgarh
7,57011,54816,111827,42355,44873,87228,961.0,81.9,10.911736999999999,11.62,78.0,Daman & Diu,Daman & Diu
8,7051073,5659252,12711164,4648996,3608486,8257636,803.0,63.8,15.548801999999998,16.36,65.0,NCT OF Delhi,NCT OF Delhi
9,106203,90394,196597,87792,77494,165286,851.0,85.7,11.411933,12.19,84.1,Dadra & Nagar Haveli,Dadra & Nagar Haveli
10,528308,532469,1060777,394617,420030,814647,1008.0,78.9,13.185279999999999,13.87,76.8,Goa,Goa
11,21229088,19373730,40603104,14189922,11513175,25703172,913.0,59.4,16.779428,17.52,63.3,Gujarat,Gujarat
12,2474430,2335639,4810071,1564350,1528573,3092923,944.0,65.4,14.663796,15.39,64.3,Himachal Pradesh,Himachal Pradesh
13,8716547,7380686,16097233,6350299,5142918,11493217,847.0,69.7,15.814376999999999,16.59,71.4,Haryana,Haryana
14,10710644,9639126,20349796,6859701,6122832,12982533,900.0,63.5,16.081341000000002,16.83,63.8,Jharkhand,Jharkhand
15,3791735,3391301,7183129,1925713,1638704,3564418,894.0,48.3,15.036724,15.79,49.6,Jammu & Kashmir,Jammu & Kashmir
16,23584842,22621080,46209812,16148545,14876307,31025020,959.0,65.8,16.934393,17.65,67.1,Karnataka,Karnataka
17,11734275,12592375,24326650,8668316,9283321,17951636,1073.0,73.7,16.348602,17.01,73.8,Kerala,Kerala
18,25433,24489,49922,21584,21655,43239,963.0,88.4,10.105979,10.82,86.6,Lakshadweep,Lakshadweep
19,42770992,38026912,80798824,26622180,22046720,48669152,889.0,58.0,17.453804,18.21,60.2,Maharashtra,Maharashtra
20,777639,789602,1567241,525328,552658,1077986,1015.0,70.0,13.579285,14.26,68.8,Meghalaya,Meghalaya
21,871417,902952,1774369,686536,727951,1414487,1036.0,80.6,13.713425,14.39,79.7,Manipur,Manipur
22,25312600,22807628,48121300,16723283,12898006,29621412,901.0,56.6,16.942606,17.69,61.6,Madhya Pradesh,Madhya Pradesh
23,346219,355951,702170,212673,213477,426150,1028.0,60.0,12.782548,13.46,60.7,Mizoram,Mizoram
24,600518,582454,1182972,528703,510521,1039224,970.0,87.7,13.275004999999998,13.98,87.8,Nagaland,Nagaland
25,15194304,14000556,29196044,11073291,10430276,21503644,921.0,74.5,16.454607,17.19,73.7,Odisha,Odisha
26,10327188,9280738,19608160,7259668,6584638,13844306,899.0,70.9,16.043451,16.79,70.6,Punjab,Punjab
27,432048,469289,901357,351544,388189,739750,1086.0,82.7,13.058974000000001,13.71,82.1,Puducherry,Puducherry
28,22648052,20346580,42994656,14593373,12440783,27034156,898.0,61.1,16.828423,17.58,62.9,Rajasthan,Rajasthan
29,191017,179753,370770,153370,146197,299567,941.0,81.3,12.099339,12.82,80.8,Sikkim,Sikkim
30,27571992,27539534,55114868,20223800,20331224,40555456,999.0,73.8,17.131134,17.82,73.6,Tamil Nadu,Tamil Nadu
31,1217578,1171244,2388822,1029407,982333,2011740,962.0,83.9,13.973576999999999,14.69,84.2,Tripura,Tripura
32,3749011,3377989,7127057,2264005,2113064,4377071,901.0,62.6,15.032791,15.78,61.4,Uttarakhand,Uttarakhand
33,75961832,62841616,138810560,44969984,36081816,81052080,827.0,57.4,17.956127,18.75,58.4,Uttar Pradesh,Uttar Pradesh
34,32689480,30143134,62833112,26868996,24704436,51573496,922.0,82.0,17.221467999999998,17.96,82.1,West Bengal,West Bengal
