,State,capacity07,capacity17
0,Andhra Pradesh,3.1325,9.69148
1,Arunanchal Pradesh,0.0,0.0247
2,Assam,0.33,0.33902
3,Bihar,1.2735,3.20533
4,Central - Unallocated,0.0,5.90966
5,Chandigarh,0.0,0.03486
6,Chhattisgarh,1.53,11.45898
7,"Dadra & Nagar
Naveli",0.0,0.15844999999999998
8,Daman & Diu,0.0,0.1157
9,NCT of Delhi,0.32,4.825399999999999
10,Goa,0.0,0.44360000000000005
11,Gujarat,5.069,16.00776
12,Haryana,1.6025,8.0701
13,Himachal Pradesh,0.0,0.17074
14,Jammu & Kashmir,0.0,0.46314999999999995
15,Jharkhand,1.62,2.01874
16,Karnataka,1.73,9.4077
17,Kerala,0.0,1.7231800000000002
18,Madhya Pradesh,2.1575,12.22673
19,Maharashtra,8.325,25.9874
20,Manipur,0.0,0.0314
21,Meghalaya,0.0,0.0304
22,Mizoram,0.0,0.0207
23,Nagaland,0.0,0.0214
24,Odisha,0.42,6.1929
25,Puducherry,0.0,0.2484
26,Punjab,2.13,8.61658
27,Rajasthan,2.545,10.22591
28,Sikkim,0.0,0.08703
29,Tamil Nadu,3.22,13.39719
30,Telangana,0.0,7.1500699999999995
31,Tripura,0.0,0.037399999999999996
32,Uttar Pradesh,4.38,17.29258
33,Uttarakhand,0.0,0.43105
34,West Bengal,4.29638,8.46215
