,State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Andhra Pradesh,19657.4362,20415.31611,20565.94326,22320.09725,23676.92764,32235.81258,35340.35303,39396.44272,40008.96229,42314.10904,44722.82556,81836.32288,81676.43511,85696.75915,93903.17424,103443.3943,114303.7216,126366.9879
1,Arunachal Pradesh,18567.39195,21173.58502,19961.90067,21863.27423,24383.72898,33878.81635,34893.62339,38187.62596,40382.62722,42733.78273,43560.62049,92127.81729,91815.70024,97141.95403,110911.9032,107621.8648,109464.7889,..
2,Assam,14693.14963,14789.94711,15430.93532,16142.75095,16462.65483,20126.79369,20751.2555,21353.28863,22336.6094,24088.40775,24961.94601,48566.20032,49118.10565,50762.12927,52894.57399,59780.20205,61874.45665,..
3,Bihar,8091.497147,7400.127235,8219.894416,7551.981698,8360.637577,9770.507242,9368.637553,10813.80715,11198.0388,12713.11942,13130.13508,26852.13369,27409.51573,28119.5351,28670.62136,29613.87843,32037.49612,35167.39242
4,Chhattisgarh,12893.53887,14556.52861,13976.74883,16297.06092,16784.98259,22140.29346,22105.75756,25743.70571,27353.29073,28542.86075,28856.6829,65823.87599,67732.32566,73258.1892,72944.88597,76100.6853,81504.54587,85393.00342
5,Goa,46768.48819,47188.3238,48703.33062,50627.37727,54451.47998,92325.11723,96975.08698,103467.5984,104461.1919,108448.4805,114339.6373,311210.9519,263919.8547,225940.6443,289184.5498,334190.2931,370442.6612,..
6,Gujarat,19647.2649,20756.96414,22249.86886,25532.20638,26625.93872,36519.3774,41174.36448,43986.10902,48468.19789,49822.28328,56075.75901,99770.99304,110266.0616,117001.951,127016.5912,137638.4911,150377.3004,..
7,Haryana,29174.56374,30625.94543,31951.89907,34409.09424,36660.82632,45359.17052,48531.39823,53065.58044,56198.75011,59465.20174,65753.52087,126723.7727,133369.3787,142775.6043,148484.7861,159582.0809,171073.6217,..
8,Himachal Pradesh,25568.71568,26411.08677,27220.65342,28559.77741,30747.13042,39070.2477,41949.88519,44749.14008,47031.40452,48814.90312,50954.9527,102772.7804,108573.7849,115771.0172,123299.4315,132064.487,139871.7276,147159.534
9,Jammu & Kashmir,16724.8436,16634.33467,17306.51433,17918.3547,18601.39543,26228.28133,27039.24135,28208.61673,29530.04712,30943.19322,32001.54432,64168.41828,63242.81362,65272.62724,61213,72315.42883,74995.69996,..
10,Jharkhand,11723.0885,12276.35249,12407.91421,13124.45569,15116.67594,21742.92265,20446.10004,20470.76786,24663.12286,23336.93379,25295.08895,48459.34798,51891.69915,51425.35985,57301,52300.48019,57762.64066,59393.06619
11,Karnataka,21345.64281,21407.15054,22284.25078,22433.09949,24407.49764,33068.77978,36037.83712,39324.89456,43761.37839,46360.78515,45877.31581,111036.8906,116146.9621,125375.5853,130024.0104,143721.0012,152653.1025,164986.4803
12,Kerala,23877.23398,24901.80104,26450.70536,27915.23357,30281.38079,38995.02229,42781.09892,45940.38159,49799.98597,52607.29971,57086.46582,118020.9869,124817.2968,129994.5816,135537.4882,144240.9177,154951.1277,..
13,Madhya Pradesh,14100.71612,14815.23672,13759.2638,15011.25564,15216.12703,19528.42337,20142.01051,21590.59548,22222.38296,24613.01493,26505.58396,48753.06791,52213.11808,54098.69366,56069,60254.9525,67085.04102,..
14,Maharashtra,25299.52707,25722.49559,27096.56547,28728.34567,30743.80224,41691.93315,47001.84969,52676.82498,57941.51896,57994.05723,62689.63293,115061.119,120076.8527,126425.7656,132611.1795,141669.2435,153864.3721,162943.7283
15,Manipur,14532.10968,15110.66862,14725.75957,16004.80517,17134.42956,22170.52219,23119.64574,23010.8671,23749.60559,24936.60772,26071.01358,47530.29079,46564.43205,49537.31655,52717,55451.60577,55891.05203,..
16,Meghalaya,17229.55842,17932.14538,18352.7731,19249.49592,20332.26563,26669.41508,28054.94429,29433.54008,29620.74253,32613.67052,33865.15353,69349.26155,68991.03465,67810.04144,64638,64757.02378,67977.59918,73210.0231
17,Mizoram,20154.01753,20893.05875,22327.52564,22480.18006,22903.00856,29879.07306,31289.30909,31873.27281,34488.99411,38673.66357,42039.32998,69850.29917,73008.79173,81890.61334,103049,111274.1653,123428.3645,..
18,Nagaland,20378.3796,21595.96798,22598.07697,22481.2508,22416.34736,39513.90912,42930.14205,45528.84047,48440.58975,50677.86982,52688.41801,68810.61866,72019.44435,76091.48567,78367,78744.73797,82515.62738,..
19,Odisha,11895.55596,12465.39597,12235.82852,13867.27232,15511.53461,20568.14308,21202.09569,23532.34851,25217.43345,26759.1273,26622.40318,56366.38339,59097.88644,63054.13767,63173,67780.66343,74200.39479,78684.53461
20,Punjab,29556.23723,29563.06157,29520.97811,30794.8558,31738.89016,37651.31267,38780.16627,42182.38628,45003.20396,46635.97685,48715.1536,97334.49216,101131.1026,106048.043,108970,113899.4517,119865.0664,..
21,Rajasthan,15210.85731,16505.67562,14279.72539,18455.60328,17660.70567,21993.32102,23034.90492,25282.69789,25970.16186,27669.03724,28791.57999,67751.76383,69232.33363,72325.84072,76436.06448,80612.78883,85379.96825,90205.65263
22,Sikkim,18140.50089,18908.55346,20226.5696,21523.25095,22913.56833,31634.82458,34381.80006,35905.47307,37599.41453,41951.23336,72033.46458,188063.0945,190297.7937,200188.1912,214147.5065,231204.9652,244375.8616,258783.3245
23,Tamil Nadu,24563.74342,23873.45859,23769.49275,25032.79861,27774.59546,36341.66527,41254.64125,47348.53993,49945.08879,52216.70021,57294.36547,112408.8866,117131.1084,122774.6584,128372.4291,138517.1178,142415.8051,152538.9441
24,Telangana,..,..,..,..,..,..,..,..,..,..,..,111496.989,113467.2698,117514.5927,124103.7807,137370.9889,150116.7137,164454.9793
25,Tripura,16460.57816,18680.60123,19567.94908,20451.99004,21853.00757,26889.85437,28315.5968,30377.49007,31990.68315,34954.49475,38077.66104,51894.43189,55518.74211,59996.5835,63969.43937,70737.74513,..,..
26,Uttar Pradesh,11880.67931,11820.79316,11984.56345,12368.32369,12736.19577,15826.59349,16431.50366,17405.32943,18179.24968,19203.37008,20031.6464,39111.77019,40218.92128,41607.07484,42266.51232,45126.60761,47583.83821,49883.31777
27,Uttarakhand,17080.56471,17574.72516,18908.50084,20066.11747,22333.30735,28283.45941,31778.79877,35053.23818,40544.44151,44177.75211,50967.82372,114737.4115,121615.7521,129034.0841,135880.6029,145219.3159,151524.3244,159498.0853
28,West Bengal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
31,Delhi,45037.92433,45096.85786,47295.88724,48452.60211,52181.59202,73813.66242,79881.50438,88103.30892,96192.22413,106132.3454,112695.9223,214195.4423,223225.5357,233672.8992,249634.5277,270780.4375,288375.9841,305873.3298
