,State,1977,2014
0,Arunachal Pradesh,107828,379672
1,Sikkim,124023,370770
2,Mizoram,204480,702170
3,Meghalaya,265163,783620
4,Delhi,363866,1815880
5,Manipur,394111,887184
6,Jammu & Kashmir,426237,1197188
7,Tripura,433028,1194411
8,Nagaland,473257,1182972
9,Himachal Pradesh,490262,1202517
10,Assam,516115,1345550
11,Gujarat,542681,1561657
12,Madhya Pradesh,569573,1659355
13,Kerala,573045,1216332
14,Haryana,576665,1609723
15,West Bengal,598152,1496026
16,Karnataka,598828,1650350
17,Maharashtra,601187,1683308
18,Orissa,602163,1390287
19,Rajasthan,609617,1719786
20,Uttar Pradesh,610991,1735131
21,Punjab,627991,1508320
22,Bihar,648081,1595004
23,Andhra Pradesh,656371,1546050
24,Tamil Nadu,697113,1413201
