State,1977,2014
Arunachal Pradesh,107828,379672
Sikkim,124023,370770
Mizoram,204480,702170
Meghalaya,265163,783620
Delhi,363866,1815880
Manipur,394111,887184
Jammu & Kashmir,426237,1197188
Tripura,433028,1194411
Nagaland,473257,1182972
Himachal Pradesh,490262,1202517
Assam,516115,1345550
Gujarat,542681,1561657
Madhya Pradesh,569573,1659355
Kerala,573045,1216332
Haryana,576665,1609723
West Bengal,598152,1496026
Karnataka,598828,1650350
Maharashtra,601187,1683308
Orissa,602163,1390287
Rajasthan,609617,1719786
Uttar Pradesh,610991,1735131
Punjab,627991,1508320
Bihar,648081,1595004
Andhra Pradesh,656371,1546050
Tamil Nadu,697113,1413201
