,State,2005,2010,2015
0,Andhra Pradesh,58602.14,58602.14,58602.14
1,Arunanchal Pradesh,3.33,3.33,3.33
2,Assam,8110.94,8110.94,8110.94
3,Bihar,28961.2,28961.2,28961.2
4,Chandigarh,115.59,115.59,115.59
5,Chhattisgarh,23659.84,23659.84,23659.84
6,NCT of Delhi,1322.09,1322.09,1322.09
7,Goa,364.84,364.84,364.84
8,Gujarat,43956.02,43956.02,43956.02
9,Haryana,10382.99,10382.99,10382.99
10,Himachal Pradesh,2138.47,2138.47,2138.47
11,Jammu & Kashmir,1849.49,1849.49,1849.49
12,Jharkhand,26413.19,26413.19,26413.19
13,Karnataka,18067.85,18067.85,18067.85
14,Kerala,3462.02,3462.02,3462.02
15,Madhya Pradesh,70077.63,70077.63,70077.63
16,Maharashtra,61641.25,61641.25,61641.25
17,Manipur,3.33,3.33,3.33
18,Meghalaya,-,-,-
19,Mizoram,6.67,6.67,6.67
20,Nagaland,43.34,43.34,43.34
21,Odisha,49551.42,49551.42,49551.42
22,Puducherry,36.27,36.27,36.27
23,Punjab,15211.53,15211.53,15211.53
24,Rajasthan,39462.3,39462.3,39462.3
25,Tamil Nadu,13830.98,13830.98,13830.98
26,Telangana,,,
27,Tripura,503.39,503.39,503.39
28,Uttar Pradesh,83419.41,83419.41,83419.41
29,Uttrakhand,2492.47,2492.47,2492.47
30,West Bengal,36856.72,36856.72,36856.72
