,State/UT,Male,Female
0,Andaman & Nicobar Island,5.44,4.22
1,Andhra Pradesh,13.81,12.23
2,Arunanchal Pradesh,5.93,4.41
3,Assam,10.42,10.05
4,Bihar,20.02,19.74
5,Chandigarh,9.1,5.87
6,Chhattisgarh,31.34,19.79
7,Dadara & Nagar Havelli,76.56,54.43
8,Daman & Diu,24.8,23.44
9,NCT of Delhi,27.34,17.2
10,Goa,23.32,25.27
11,Gujarat,67.47,47.46
12,Haryana,5.24,2.14
13,Himachal Pradesh,8.42,6.03
14,Jammu & Kashmir,6.46,3.92
15,Jharkhand,15.2,10.91
16,Karnataka,44.92,31.19
17,Kerala,10.2,9.52
18,Lakshadweep,24.31,17.61
19,Madhya Pradesh,4.55,2.43
20,Maharashtra,3.93,3.36
21,Manipur,0.6,0.49
22,Meghalaya,7.66,5.55
23,Mizoram,8.45,7.05
24,Nagaland,0.27,0.29
25,Odisha,19.43,17.48
26,Puducherry,7.01,7.42
27,Punjab,15.2,8.64
28,Rajasthan,3.2,1.98
29,Sikkim,0.0,0.0
30,Tamil Nadu,38.4,31.97
31,Telangana,12.0,7.57
32,Tripura,19.22,15.73
33,Uttar Pradesh,4.14,4.78
34,Uttarakhand,17.09,15.87
35,West Bengal,13.38,9.82
